id,org,orgShort,title,place,target,capacity,enrolled,waitCapacity,waitEnrolled,openAt,deadline,eventEnd,schedule,url,presets,노출,메모
phlib-3539,어린이영어도서관,어린이영어,(초등1-2) 독서의 달 프로그램,어린이영어도서관 다목적실,초등1~2학년(2018~19년생),15,0,5,0,2026-09-07 10:00,2026-09-11 18:00,2026-09-12,2026.09.12(토) 13:30 ~ 15:00 (1회),https://phlib.pohang.go.kr/phlib/module/teach/detail.do?menu_idx=24&group_idx=92&teach_idx=3539,elem|weekend,Y,
phlib-3538,어린이영어도서관,어린이영어,(유아6-7) 독서의 달 프로그램,어린이영어도서관 다목적실,유아6~7세(2020~21년생),10,0,5,0,2026-09-07 10:00,2026-09-18 18:00,2026-09-19,2026.09.19(토) 14:00 ~ 15:00 (1회),https://phlib.pohang.go.kr/phlib/module/teach/detail.do?menu_idx=24&group_idx=92&teach_idx=3538,kid|weekend,Y,
phlib-3577,환여 해맞이꿈터작은도서관,환여 해맞이꿈터,조물조물 그림책 공예,환여 해맞이꿈터작은도서관,초등1~6학년,7,0,3,0,2026-09-11 10:00,2026-09-17 18:00,2026-09-19,2026.09.19(토) 16:00 ~ 18:00 (1회),https://phlib.pohang.go.kr/phlib/module/teach/detail.do?menu_idx=24&group_idx=98&teach_idx=3577,elem|weekend,Y,
phlib-3550,포은흥해도서관,포은흥해,[독서의 달] 북 퍼퓸 만들기,포은흥해도서관 2층 프로그램실3,일반,10,0,3,0,2026-09-11 10:00,2026-09-17 18:00,2026-09-20,2026.09.20(일) 10:00 / 13:00 / 15:00 중 택1 (2시간),https://phlib.pohang.go.kr/phlib/module/teach/detail.do?menu_idx=24&group_idx=140&teach_idx=3550,weekend,Y,
phlib-3581,대잠도서관,대잠,문학과 그림으로 건너는 오뒷세이아,대잠도서관 3층 세오녀방,성인,20,0,3,0,2026-09-09 10:00,2026-09-15 23:59,2026-09-18,2026.09.18(금) 10:00 ~ 12:00 (1회),https://phlib.pohang.go.kr/phlib/module/teach/detail.do?menu_idx=24&group_idx=68&teach_idx=3581,morning,Y,
phlib-3527,포은오천도서관,포은오천,작가와의 만남 — 진수경 작가 (부모 동반),포은오천도서관 2층 소리마루,초등1~6학년 및 학부모,60,35,0,0,2026-08-25 10:00,2026-09-10 17:00,2026-09-12,2026.09.12(토) 14:00 ~ 15:30 (1회),https://phlib.pohang.go.kr/phlib/module/teach/detail.do?menu_idx=24&group_idx=80&teach_idx=3527,elem|weekend,Y,
phlib-3561,포은중앙도서관,포은중앙,작가와의 만남 2 — 박정우 작가,포은중앙도서관 3층 배움1터,누구나,20,13,5,0,2026-08-27 10:00,2026-09-09 23:59,2026-09-12,2026.09.12(토) 13:00 ~ 14:00 (1회),https://phlib.pohang.go.kr/phlib/module/teach/detail.do?menu_idx=24&group_idx=136&teach_idx=3561,weekend,Y,
phlib-3576,솔개재작은도서관,솔개재,(추가모집) 그림책 속 문학여행,솔개재작은도서관,초등 1~3학년,3,0,2,0,2026-08-29 10:00,2026-09-12 15:00,2026-11-27,2026.09.04 ~ 11.27 매주 금 16:00 ~ 18:00,https://phlib.pohang.go.kr/phlib/module/teach/detail.do?menu_idx=24&group_idx=98&teach_idx=3576,elem,Y,
phlib-3541,동해석곡도서관,동해석곡,시간여행 독서여행사 (독서의 달),동해석곡도서관,초등1~6학년,10,8,5,0,2026-08-26 10:00,2026-09-05 17:00,2026-09-06,2026.09.06(일) 10:00 ~ 12:00 (1회),https://phlib.pohang.go.kr/phlib/module/teach/detail.do?menu_idx=24&group_idx=86&teach_idx=3541,elem|weekend,Y,
phlib-3578,동해석곡도서관,동해석곡,어린이 독서회 (하반기),동해석곡도서관 3층 다목적실,초등학생 1~6학년,13,9,3,0,2026-09-02 10:00,2026-09-12 17:00,2026-11-08,2026.09.13 ~ 11.08 매주 일 10:00 ~ 12:00,https://phlib.pohang.go.kr/phlib/module/teach/detail.do?menu_idx=24&group_idx=81&teach_idx=3578,elem|weekend,Y,
