at,minutesAfterOpen,id,org,title,enrolled,capacity,waitEnrolled,waitCapacity,openAt
2026-09-07 09:59:00,-1,phlib-3538,어린이영어도서관,(유아6-7)독서의 달 프로그램,0,10,0,5,2026-09-07 10:00
2026-09-07 10:00:00,0,phlib-3538,어린이영어도서관,(유아6-7)독서의 달 프로그램,0,10,0,5,2026-09-07 10:00
2026-09-07 10:00:30,0.5,phlib-3538,어린이영어도서관,(유아6-7)독서의 달 프로그램,9,10,0,5,2026-09-07 10:00
2026-09-07 10:01:00,1,phlib-3538,어린이영어도서관,(유아6-7)독서의 달 프로그램,9,10,0,5,2026-09-07 10:00
2026-09-07 10:02:00,2,phlib-3538,어린이영어도서관,(유아6-7)독서의 달 프로그램,9,10,0,5,2026-09-07 10:00
2026-09-07 10:03:00,3,phlib-3538,어린이영어도서관,(유아6-7)독서의 달 프로그램,9,10,0,5,2026-09-07 10:00
2026-09-07 10:05:00,5,phlib-3538,어린이영어도서관,(유아6-7)독서의 달 프로그램,9,10,0,5,2026-09-07 10:00
2026-09-07 10:08:00,8,phlib-3538,어린이영어도서관,(유아6-7)독서의 달 프로그램,10,10,1,5,2026-09-07 10:00
2026-09-07 10:12:00,12,phlib-3538,어린이영어도서관,(유아6-7)독서의 달 프로그램,10,10,2,5,2026-09-07 10:00
2026-09-07 10:20:00,20,phlib-3538,어린이영어도서관,(유아6-7)독서의 달 프로그램,10,10,3,5,2026-09-07 10:00
2026-09-07 10:30:00,30,phlib-3538,어린이영어도서관,(유아6-7)독서의 달 프로그램,10,10,3,5,2026-09-07 10:00
2026-09-07 10:45:00,45,phlib-3538,어린이영어도서관,(유아6-7)독서의 달 프로그램,10,10,3,5,2026-09-07 10:00
2026-09-07 11:00:00,60,phlib-3538,어린이영어도서관,(유아6-7)독서의 달 프로그램,10,10,5,5,2026-09-07 10:00
2026-09-07 11:38:11,90,phlib-3538,어린이영어도서관,(유아6-7)독서의 달 프로그램,10,10,5,5,2026-09-07 10:00
2026-09-07 09:59:00,-1,phlib-3539,어린이영어도서관,(초등1-2)독서의 달 프로그램,0,15,0,5,2026-09-07 10:00
2026-09-07 10:00:00,0,phlib-3539,어린이영어도서관,(초등1-2)독서의 달 프로그램,0,15,0,5,2026-09-07 10:00
2026-09-07 10:00:30,0.5,phlib-3539,어린이영어도서관,(초등1-2)독서의 달 프로그램,3,15,0,5,2026-09-07 10:00
2026-09-07 10:01:00,1,phlib-3539,어린이영어도서관,(초등1-2)독서의 달 프로그램,4,15,0,5,2026-09-07 10:00
2026-09-07 10:02:00,2,phlib-3539,어린이영어도서관,(초등1-2)독서의 달 프로그램,4,15,0,5,2026-09-07 10:00
2026-09-07 10:03:00,3,phlib-3539,어린이영어도서관,(초등1-2)독서의 달 프로그램,4,15,0,5,2026-09-07 10:00
2026-09-07 10:05:00,5,phlib-3539,어린이영어도서관,(초등1-2)독서의 달 프로그램,4,15,0,5,2026-09-07 10:00
2026-09-07 10:08:00,8,phlib-3539,어린이영어도서관,(초등1-2)독서의 달 프로그램,4,15,0,5,2026-09-07 10:00
2026-09-07 10:12:00,12,phlib-3539,어린이영어도서관,(초등1-2)독서의 달 프로그램,4,15,0,5,2026-09-07 10:00
2026-09-07 10:20:00,20,phlib-3539,어린이영어도서관,(초등1-2)독서의 달 프로그램,4,15,0,5,2026-09-07 10:00
2026-09-07 10:30:00,30,phlib-3539,어린이영어도서관,(초등1-2)독서의 달 프로그램,4,15,0,5,2026-09-07 10:00
2026-09-07 10:45:00,45,phlib-3539,어린이영어도서관,(초등1-2)독서의 달 프로그램,5,15,0,5,2026-09-07 10:00
